Банк	Лицензия	ликвдата	причина	статус	хреф
Московский Национальный Инвестиционный Банк	3181	05.07.2017	"[<dd class=""margin-bottom-zero""><p>ООО «КБ «МНИБ» было вовлечено в осуществление сомнительных транзитных операций. Сохранение ориентированности бизнес-модели кредитной организации на проведение подобного рода операций в условиях применения надзорным органом меры воздействия ограничительного характера, направленной на их пресечение, свидетельствовало об отсутствии намерений руководства и собственников банка осуществлять мероприятия по нормализации его деятельности. При этом ООО «КБ «МНИБ» не соблюдало требования нормативных актов Банка России в области противодействия легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма. Кроме того, кредитная организация проводила высокорискованную кредитную политику, связанную с размещением денежных средств в низкокачественные активы.

</p><p>В сложившихся обстоятельствах Банком России принято решение о выводе ООО «КБ «МНИБ» с рынка банковских услуг.

</p><p>Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований нормативных актов Банка России, изданных в соответствии с Федеральным законом «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)», принимая во внимание наличие реальной угрозы интересам кредиторов и вкладчиков.</p></dd>]"	отозв.	/banks/memory/bank/?id=9848485
Расчетный Финансовый Дом	3430-К	19.06.2017	"[<dd class=""margin-bottom-zero"">С конца 2016 года деятельность кредитной организации ориентирована на проведение сомнительных транзитных операций. При этом АО «НКО «Расчетный Финансовый Дом» не соблюдало требования законодательства в области противодействия легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма. Руководители и собственники АО «НКО «Расчетный Финансовый Дом» не предприняли действенных мер, направленных на исключение вовлечения кредитной организации в сомнительную деятельность ее клиентов. В сложившихся обстоятельствах Банком России принято решение о выводе АО «НКО «Расчетный Финансовый Дом» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьей 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)», принимая во внимание наличие реальной угрозы интересам кредиторов.</dd>]"	отозв.	/banks/memory/bank/?id=9813780
Фидбэк	3502-К	19.06.2017	"[<dd class=""margin-bottom-zero"">Бизнес кредитной организации практически полностью ориентирован на проведение «теневых» валютно-обменных операций. При этом АО «РНКО «ФБ» активно осуществлялись мероприятия по уклонению от предусмотренных законодательством в области противодействия легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма процедур обязательного контроля операций и идентификации клиентов. Неоднократно применявшиеся регулятором меры воздействия ограничительного характера, направленные на пресечение подобных операций, не привели к надлежащей корректировке деятельности АО «РНКО «ФБ». Более того, в деятельности кредитной организации выявлены признаки систематического осуществления операций без их отражения в бухгалтерском учете и отчетности. Данные обстоятельства свидетельствовали об отсутствии намерений руководства и собственников АО «РНКО «ФБ» осуществлять мероприятия по нормализации деятельности кредитной организации.<br/>
<br/>
АО «РНКО «ФБ» не соблюдало требования законодательства в области противодействия легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма. В сложившихся обстоятельствах Банком России принято решение о выводе АО «РНКО «ФБ» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьей 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».</dd>]"	отозв.	/banks/memory/bank/?id=9813799
Айви Банк	2055	29.05.2017	"[<dd class=""margin-bottom-zero"">Бизнес-модель АО «Айви Банк» носила выраженный кэптивный характер и в значительной степени была ориентирована на высокорискованное кредитование заемщиков, прямо или косвенно связанных с конечными бенефициарами кредитной организации. Совершенные кредитной организацией операции и сделки привели к возникновению в деятельности банка оснований для осуществления мер по предупреждению несостоятельности (банкротства) и создали реальную угрозу интересам его кредиторов и вкладчиков.<br/>
<br/>
Банк России неоднократно применял в отношении кредитной организации меры надзорного реагирования, включая ограничения и запрет на привлечение вкладов населения.<br/>
<br/>
Осуществляемые руководством и собственниками кредитной организации мероприятия по нормализации ее деятельности признаны надзорным органом неэффективными и недостаточными. В сложившихся обстоятельствах Банком России принято решение о выводе АО «Айви Банк» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)», принимая во внимание наличие реальной угрозы интересам кредиторов и вкладчиков.</dd>]"	отозв.	/banks/memory/bank/?id=9766166
РИТЦ Банк	2677	29.05.2017	"[<dd class=""margin-bottom-zero"">Вследствие возникновения острого дефицита ликвидности ООО «РИТЦ Банк» утратило способность выполнять свои обязательства перед кредиторами и фактически прекратило операционное обслуживание клиентов. При этом в действиях руководства и собственников кредитной организации прослеживались признаки недобросовестного поведения, выражавшиеся в выводе активов, в результате чего банк полностью утратил капитал.<br/>
<br/>
Банк России неоднократно применял в отношении кредитной организации меры надзорного реагирования, включая ограничения на осуществление отдельных операций.<br/>
<br/>
До настоящего времени руководством и собственниками ООО «РИТЦ Банк» не предприняты эффективные и достаточные меры по нормализации его деятельности. В сложившихся обстоятельствах Банк России на основании статьи 20 Федерального закона «О банках и банковской деятельности» исполнил обязанность по отзыву у кредитной организации лицензии на осуществление банковских операций.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, значением всех нормативов достаточности собственных средств (капитала) ниже двух процентов, снижением размера собственных средств (капитала) ниже минимального значения уставного капитала, установленного на дату государственной регистрации кредитной организации, неспособностью удовлетворить требования кредиторов по денежным обязательствам, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».</dd>]"	отозв.	/banks/memory/bank/?id=9766173
Интеркоопбанк	2803	15.05.2017	"[<dd class=""margin-bottom-zero""><p>АО «АКБ «Интеркоопбанк» на протяжении длительного времени находилось в поле зрения Банка России в связи с проведением банком транзитных и сомнительных операций, связанных с обналичиванием и выводом денежных средств за рубеж по сделкам с ценными бумагами. Высокая вовлеченность АО «АКБ «Интеркоопбанк» в подобную деятельность в условиях неоднократного применения надзорным органом мер, направленных на ее пресечение, свидетельствовала об отсутствии намерений руководства и собственников банка осуществлять мероприятия по нормализации его деятельности. В сложившихся обстоятельствах Банком России принято решение о выводе АО «АКБ «Интеркоопбанк» с рынка банковских услуг.</p>
<p>Решение Банка России принято в связи с неисполнением федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьей 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».</p></dd>]"	отозв.	/banks/memory/bank/?id=9737606
Информпрогресс	2166	15.05.2017	"[<dd class=""margin-bottom-zero""><p>Бизнес-модель ООО «КБ «Информпрогресс» была в значительной степени ориентирована на обслуживание интересов его собственников. При этом банк размещал денежные средства в низкокачественные активы, в том числе в строительной сфере, и неадекватно оценивал принимаемые кредитные риски. В связи с досозданием необходимых резервов на возможные потери размер собственных средств кредитной организации снизился до уровня ниже зарегистрированного уставного капитала. ООО «КБ «Информпрогресс»не выполнило в установленный законом срок требование предписания Банка России о приведении в соответствие величины уставного капитала и размера собственных средств.</p>
<p>Банк России неоднократно применял в отношении кредитной организации меры надзорного реагирования, включая ограничения на привлечение вкладов населения.</p>
<p>До настоящего времени руководством и собственниками ООО «КБ «Информпрогресс» не предприняты эффективные и достаточные меры по нормализации его деятельности. В сложившихся обстоятельствах Банк России на основании статьи 20 Федерального закона «О банках и банковской деятельности» исполнил обязанность по отзыву у кредитной организации лицензии на осуществление банковских операций.</p>
<p>Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, неисполнением в срок, установленный параграфом 4.1 главы IX Федерального закона «O несостоятельности (банкротстве)», требования Банка России о приведении в соответствие величины уставного капитала и размера собственных средств (капитала), учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».</p></dd>]"	отозв.	/banks/memory/bank/?id=9737614
Сибэс	208	28.04.2017	"[<dd class=""margin-bottom-zero"">Текущее состояние АО «Банк «Сибэс» характеризовалось наличием критически повышенных рисков, связанных с рефинансированием задолженности физических лиц и осуществлением «схемных» сделок с приобретенными у микрофинансовых организаций правами требования по потребительским займам.<br/>
<br/>
В деятельности банка установлено проведение «фиктивных» операций по замене активов, целью которых являлось сокрытие значительной недостачи денежных средств в кассе и реального финансового положения банка. В недобросовестных действиях руководства и собственников кредитной организации, выражавшихся в выводе активов, манипулировании отчетными данными и игнорировании требований надзорного органа о формировании адекватных принимаемым рискам резервов на возможные потери, усматриваются признаки ее преднамеренного банкротства. Кроме того, в текущем году бизнес банка в значительной степени был ориентирован на проведение сомнительных транзитных операций клиентов с незначительной налоговой нагрузкой.<br/>
<br/>
Банк России неоднократно применял в отношении кредитной организации меры надзорного реагирования, включая ограничения на привлечение вкладов населения.<br/>
<br/>
До настоящего времени руководством и собственниками банка не предприняты действенные меры по нормализации его деятельности. В сложившихся обстоятельствах Банком России принято решение о выводе кредитной организации с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьей 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, установлением фактов существенной недостоверности отчетных данных, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».<br/>
<br/>
В связи с установлением фактов существенной недостоверности отчетных данных кредитной организации соответствующие материалы на основании части 1.2 статьи 140 Уголовно-процессуального кодекса Российской Федерации и статьи 75.1 Федерального закона «О Центральном банке Российской Федерации (Банке России)» будут направлены Банком России в Следственный комитет Российской Федерации для решения вопроса о возбуждении уголовного дела по признакам преступления, предусмотренного статьей 172.1 Уголовного кодекса Российской Федерации.</dd>]"	отозв.	/banks/memory/bank/?id=9711543
Международный Строительный Банк	3484	28.04.2017	"[<dd class=""margin-bottom-zero"">Проблемы у ООО «КБ «МСБ» возникли вследствие использования крайне рискованной бизнес-модели и низкого качества значительной части активов, обусловленного кредитованием компаний, обладающих признаками отсутствия реальной хозяйственной деятельности. При этом в деятельности банка прослеживались недобросовестные действия его руководства и собственников, выражавшиеся в выводе активов с ущербом для интересов кредиторов и проведении «схемных» операций, направленных на сокрытие реального уровня кредитного риска.<br/>
<br/>
Вследствие возникновения острого дефицита ликвидности ООО «КБ «МСБ» фактически утратило способность выполнять в полном объеме свои обязательства перед кредиторами.<br/>
<br/>
Банк России неоднократно применял в отношении кредитной организации меры надзорного реагирования, включая ограничения и запреты на осуществление отдельных операций.<br/>
<br/>
До настоящего времени руководством и собственниками банка не предприняты действенные меры по нормализации его деятельности. В сложившихся обстоятельствах Банк России на основании статьи 20 Федерального закона «О банках и банковской деятельности» исполнил обязанность по отзыву у кредитной организации лицензии на осуществление банковских операций.<br/>
<br/>
Решение о применении крайней меры воздействия — отзыве лицензии на осуществление банковских операций — принято Банком России в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, неспособностью удовлетворить требования кредиторов по денежным обязательствам, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».</dd>]"	отозв.	/banks/memory/bank/?id=9711556
Владпромбанк	870	28.04.2017	"[<dd class=""margin-bottom-zero"">ООО «Владпромбанк» на протяжении длительного периода находилось в поле зрения Банка России вследствие реализации банком различных схем сомнительных операций клиентов, в том числе осуществляемых по счетам компаний, бизнес которых связан со сделками с драгоценными металлами.<br/>
<br/>
Высокая вовлеченность ООО «Владпромбанк» в проведение тех или иных сомнительных операций в условиях неоднократного применения надзорным органом мер, направленных на исключение участия банка в обслуживании отдельных сегментов теневого рынка, свидетельствовала об отсутствии намерений руководства и собственников банка осуществлять мероприятия по нормализации его деятельности. В сложившихся обстоятельствах Банком России принято решение о выводе ООО «Владпромбанк» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьями 7 (за исключением пункта 3 статьи 7) и 7.2 Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)», принимая во внимание наличие реальной угрозы интересам кредиторов и вкладчиков.</dd>]"	отозв.	/banks/memory/bank/?id=9711563
Финарс Банк	2938	21.04.2017	"[<dd class=""margin-bottom-zero"">АО «Финарс Банк» являлся расчетным центром одной из платежных систем, однако не относился к кредитным организациям, признанным Банком России значимыми на рынке платежных услуг. При этом деятельность банка в основном была ориентирована на проведение сомнительных транзитных операций, конечной целью которых являлась «теневая» продажа наличных денежных средств.<br/>
<br/>
Высокая вовлеченность кредитной организации в проведение сомнительных транзитных операций на протяжении длительного времени и рост их объема в условиях систематического несоблюдения введенных надзорным органом ограничений свидетельствовали об отсутствии намерений руководства и собственников банка осуществлять меры по нормализации его деятельности. В сложившихся обстоятельствах Банком России принято решение о выводе АО «Финарс Банк» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьей 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)», принимая во внимание наличие реальной угрозы интересам кредиторов.</dd>]"	отозв.	/banks/memory/bank/?id=9697684
Образование	1521	21.04.2017	"[<dd class=""margin-bottom-zero"">Проблемы у АО «АКИБ «Образование» возникли вследствие использования крайне рискованной бизнес-модели и низкого качества значительной части активов, обусловленного кредитованием компаний, обладающих признаками отсутствия реальной хозяйственной деятельности. При этом в ходе надзора за деятельностью банка выявлены недобросовестные действия его руководства и собственников, выражавшиеся в выводе активов с ущербом для интересов кредиторов и вкладчиков, а также их «технической» трансформации с целью уклонения от исполнения требований надзорного органа о формировании резервов на возможные потери, адекватных принимаемым рискам. Кроме того, АО «АКИБ «Образование» представляло в Банк России недостоверную финансовую отчетность, не отражавшую фактическую утрату собственных средств (капитала). С учетом этого в действиях руководителей кредитной организации усматриваются признаки ее преднамеренного банкротства.<br/>
<br/>
В целях сокрытия острого дефицита ликвидности банк искусственно ограничивал клиентов в праве распоряжения их денежными средствами. АО «АКИБ «Образование» фактически утратило способность выполнять в полном объеме свои обязательства перед кредиторами.<br/>
<br/>
Банк России неоднократно применял в отношении кредитной организации меры надзорного реагирования, включая ограничения и запрет на привлечение вкладов населения.<br/>
<br/>
До настоящего времени руководством и собственниками АО «АКИБ «Образование» не предприняты действенные меры по нормализации его деятельности. В сложившихся обстоятельствах Банк России на основании статьи 20 Федерального закона «О банках и банковской деятельности» исполнил обязанность по отзыву у банка лицензии на осуществление банковских операций.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьей 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, установлением фактов существенной недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».<br/>
<br/>
В связи с установлением фактов существенной недостоверности отчетных данных кредитной организации соответствующие материалы на основании части 1.2 статьи 140 Уголовно-процессуального кодекса Российской Федерации и статьи 75.1 Федерального закона «О Центральном банке Российской Федерации (Банке России)» будут направлены Банком России в Следственный комитет Российской Федерации для решения вопроса о возбуждении уголовного дела по признакам преступления, предусмотренного статьей 172.1 Уголовного кодекса Российской Федерации.</dd>]"	отозв.	/banks/memory/bank/?id=9697702
Росэнергобанк	2211	10.04.2017	"[<dd class=""margin-bottom-zero""><p>Приказом Банка России от 10.04.2017 N ОД-942 с 10.04.2017 отозвана лицензия на осуществление банковских операций у кредитной организации Коммерческий банк «РОСЭНЕРГОБАНК» (акционерное общество) КБ «РЭБ» (АО) (рег. № 2211, г. Москва).</p>
<p>Кредитная организация оказалась неспособна исполнять свои обязательства перед кредиторами, в связи с чем у Банка России возникла обязанность отозвать у нее лицензию на осуществление банковских операций. При этом КБ «РЭБ» (АО) в нарушение соответствующего предписания Банка России недостоверно отражал в представляемой в надзорный орган отчетности сведения о неудовлетворенных требованиях кредиторов. Регулятор неоднократно применял в отношении кредитной организации меры надзорного реагирования, включая ограничение на привлечение вкладов населения.</p>
<p>Проблемы у КБ «РЭБ» (АО) возникли в связи с использованием крайне рискованной бизнес-модели, низким качеством управления и активов. В деятельности банка прослеживались признаки недобросовестного поведения руководства и собственников, выражавшиеся в выводе активов (прежде всего, путем выдачи кредитов юридическим лицам, в отношении которых были установлены обстоятельства, свидетельствующие об отсутствии реальной деятельности) с ущербом для интересов кредиторов и вкладчиков, а также в составлении недостоверной финансовой отчетности.</p>
<p>До настоящего времени руководством и собственниками КБ «РЭБ» (АО) не осуществлены действенные меры по нормализации его деятельности. В сложившихся обстоятельствах Банк России на основании статьи 20 Федерального закона «О банках и банковской деятельности» исполнил обязанность по отзыву у кредитной организации лицензии на осуществление банковских операций.</p></dd>]"	отозв.	/banks/memory/bank/?id=9665367
