Уникальные банки
Традо-Банк лицензия № 1065, Москва и обл.
Стратегия лицензия № 2801, Москва и обл.
Нижегородпромстройбанк лицензия № 1851, Нижегородская обл.
МС Банк Рус лицензия № 2789, Москва и обл.
Банк Проектного Финансирования лицензия № 1677, Москва и обл.
Столичная расчетная палата лицензия № 3419, Вологодская обл.
Дил-Банк лицензия № 3384, Москва и обл.
МАСТ-Банк лицензия № 3267, Москва и обл.
РИБ лицензия № 2749, Москва и обл.
Петрокоммерц лицензия № 1776, Москва и обл.
Международный Инвестиционный Банк лицензия № 2742, Москва и обл.
Банк Жилищного Финансирования лицензия № 3138, Москва и обл.
Расчетный Банковский Центр лицензия № 3487, Москва и обл.
Банк Сосьете Женераль Восток лицензия № 2295, Москва и обл.
Липецккомбанк лицензия № 1242, Липецкая обл.
Дельта Кей лицензия № 3513, Москва и обл.
Банк на Красных Воротах лицензия № 2472, Москва и обл.
Смоленский Банк лицензия № 2029, Смоленская обл.
Банк Город лицензия № 2644, Москва и обл.
Йошкар-Ола лицензия № 2802, Марий Эл
Первобанк лицензия № 3461, Самарская обл.
РН Банк лицензия № 170, Москва и обл.
Модульбанк лицензия № 1927, Костромская обл.
Восточно-Европейский Трастовый Банк лицензия № 2253, Москва и обл.
Новый Коммерческий Банк лицензия № 347, Дагестан
Уралфинпромбанк лицензия № 3119, Свердловская обл.
Транспортный лицензия № 3174, Москва и обл.
ЕвроситиБанк лицензия № 1869, Москва и обл.
Бум-Банк лицензия № 1137, Кабардино-Балкария
Интеркредит лицензия № 3047, Москва и обл.
Промышленно-Финансовое Сотрудничество лицензия № 2410, Москва и обл.
Ишбанк лицензия № 2867, Москва и обл.
5
ИК Банк лицензия № 1732, Татарстан
Элита лицензия № 1399, Калужская обл.
МБА-Москва лицензия № 3395, Москва и обл.
Москоммерцбанк лицензия № 3365, Москва и обл.
Нико-Банк лицензия № 702, Оренбургская обл.
Современный Коммерческий Инновационный Банк лицензия № 3329, Москва и обл.
МДМ Банк лицензия № 2562, Москва и обл.
Авангард лицензия № 2879, Москва и обл.
Держава лицензия № 2738, Москва и обл.
Динамичные Системы лицензия № 3439, Москва и обл.
Кредитимпэкс Банк лицензия № 2037, Москва и обл.
Месед лицензия № 184, Дагестан
Континент Финанс лицензия № 149, Москва и обл.
Нижний Новгород лицензия № 926, Нижегородская обл.
Банк24.ру лицензия № 2227, Москва и обл.
Арт-Банк лицензия № 2779, Северная Осетия — Алания
Московский Областной Банк лицензия № 1751, Москва и обл.
Московский Национальный Инвестиционный Банк лицензия № 3181, Москва и обл.
СтарБанк лицензия № 548, Тюменская обл.
Интеррасчет лицензия № 1618, Карачаево-Черкесия
Новый Московский Банк лицензия № 2932, Москва и обл.
Автоградбанк лицензия № 1455, Татарстан
Арксбанк лицензия № 1868, Воронежская обл.
Объединенный Банк Развития лицензия № 3345, Москва и обл.
Крона-Банк лицензия № 2499, Иркутская обл.
Приско Капитал Банк лицензия № 2537, Москва и обл.
Старый Кремль лицензия № 2657, Москва и обл.
Сибнефтебанк лицензия № 385, Тюменская обл.
Проминвестбанк лицензия № 2433, Москва и обл.
Айви Банк лицензия № 2055, Москва и обл.
ВРБ лицензия № 3499, Ярославская обл.
КС Банк лицензия № 1752, Мордовия
Роспромбанк лицензия № 3204, Москва и обл.
Соцгорбанк лицензия № 1827, Москва и обл.
Мой Банк. Новосибирск лицензия № 2787, Новосибирская обл.
БМ-Банк лицензия № 2748, Москва и обл.
Востоккредитбанк лицензия № 922, Амурская обл.
Земский Банк лицензия № 2900, Самарская обл.
Булгар Банк лицензия № 1917, Татарстан
Морган Стэнли Банк лицензия № 3456, Москва и обл.
Современный Коммерческий Инновационный Банк лицензия № 3329, Калужская обл.
Девон-Кредит лицензия № 1972, Татарстан
Энерготрансбанк лицензия № 1307, Калининградская обл.
Национальный Банк Взаимного Кредита лицензия № 3214, Москва и обл.
Гефест лицензия № 1046, Тверская обл.
Ренессанс Кредит лицензия № 3354, Москва и обл.
Первый Капитал лицензия № 3201, Москва и обл.
Тор Кредит лицензия № 3497, Москва и обл.
Чувашкредитпромбанк лицензия № 1280, Чувашия
Татфондбанк лицензия № 3058, Татарстан
Стройлесбанк лицензия № 2995, Тюменская обл.
Банк ВВБ лицензия № 1093, Севастополь
Газнефтьбанк лицензия № 3223, Саратовская обл.
Промтрансбанк лицензия № 2638, Башкортостан
Газстройбанк лицензия № 2919, Москва и обл.
Евроальянс лицензия № 1781, Ивановская обл.
Заубер Банк лицензия № 1614, Санкт-Петербург и обл.
Констанс-Банк лицензия № 2228, Санкт-Петербург и обл.
Хлынов лицензия № 254, Кировская обл.
Народный Инвестиционный Банк лицензия № 2876, Самарская обл.
Союзный лицензия № 3236, Москва и обл.
Джей энд Ти Банк лицензия № 3061, Москва и обл.
Сембанк лицензия № 2606, Москва и обл.
Таурус Банк лицензия № 655, Челябинская обл.
Космос лицензия № 2245, Москва и обл.
4
Еврокапитал-Альянс лицензия № 2672, Ярославская обл.
Объединенный Капитал лицензия № 2611, Санкт-Петербург и обл.
Атлас Банк лицензия № 3477, Москва и обл.
Пурпе лицензия № 709, Ханты-Мансийский АО — Югра
СИАБ лицензия № 3245, Санкт-Петербург и обл.
Банк БФА лицензия № 3038, Санкт-Петербург и обл.
Мигом лицензия № 3323, Москва и обл.
Уралфинанс лицензия № 1370, Свердловская обл.
Агропромкредит лицензия № 2880, Москва и обл.
Банкхаус Эрбе лицензия № 1717, Москва и обл.
ИРС лицензия № 272, Москва и обл.
Частный Расчетно-Кассовый Центр лицензия № 3420, Москва и обл.
Резерв лицензия № 2364, Челябинская обл.
Межрегионбанк лицензия № 1059, Москва и обл.
Синко-Банк лицензия № 2838, Москва и обл.
Еврокапитал-Альянс лицензия № 3459, Ярославская обл.
Соверен Банк лицензия № 3206, Москва и обл.
Межбанковский Расчетный Центр лицензия № 3325, Приморский край
1Банк лицензия № 2896, Северная Осетия — Алания
Оргбанк лицензия № 3312, Москва и обл.
ЮМК лицензия № 3495, Краснодарский край
КредитАльянс лицензия № 3472, Вологодская обл.
Нарат лицензия № 1902, Саратовская обл.
Кутузовский лицензия № 3190, Москва и обл.
Связь-Банк лицензия № 1470, Москва и обл.
Стромкомбанк лицензия № 404, Красноярский край
Русско-Германский Торговый Банк лицензия № 2747, Москва и обл.
Центрально-Европейский Банк лицензия № 2670, Москва и обл.
Балтинвестбанк лицензия № 3176, Санкт-Петербург и обл.
Приоритет лицензия № 3135, Самарская обл.
Камский Коммерческий Банк лицензия № 438, Татарстан
БСТ-Банк лицензия № 2883, Кемеровская обл.
Регнум лицензия № 3373, Москва и обл.
Телекоммерц Банк лицензия № 3380, Тульская обл.
Донкомбанк лицензия № 492, Ростовская обл.
Камский Горизонт лицензия № 2554, Татарстан
Пойдем! лицензия № 2534, Москва и обл.
ББР Банк лицензия № 2929, Москва и обл.
РНКБ лицензия № 1354, Москва и обл.
Объединенный Банк Промышленных Инвестиций лицензия № 2626, Москва и обл.
К2 Банк лицензия № 2851, Дагестан
Примтеркомбанк лицензия № 21, Приморский край
Экси-Банк лицензия № 2530, Санкт-Петербург и обл.
Волго-Камский Банк лицензия № 282, Самарская обл.
Юникорбанк лицензия № 2586, Москва и обл.
Адам Интернэшнл лицензия № 2232, Дагестан
Инэко лицензия № 3520, Ивановская обл.
Ноябрьскнефтекомбанк лицензия № 2274, Тюменская обл.
ВУЗ-Банк лицензия № 1557, Свердловская обл.
Тусар лицензия № 2712, Москва и обл.
Смолевич лицензия № 1121, Смоленская обл.
Аделантбанк лицензия № 1835, Москва и обл.
Новое Время лицензия № 3492, Москва и обл.
Газтрансбанк лицензия № 665, Краснодарский край
Межрегиональный Почтовый Банк лицензия № 3171, Москва и обл.
Росдорбанк лицензия № 1573, Москва и обл.
Миллениум Банк лицензия № 3423, Москва и обл.
Морской Банк лицензия № 77, Москва и обл.
Рускобанк лицензия № 138, Санкт-Петербург и обл.
Алтайкапиталбанк лицензия № 2659, Алтайский край
Региональный Корпоративный Банк лицензия № 1134, Москва и обл.
Транскапиталбанк лицензия № 2210, Москва и обл.
Национальный Корпоративный Банк лицензия № 3422, Москва и обл.
Русстройбанк лицензия № 3205, Москва и обл.
Логос лицензия № 3233, Москва и обл.
Тандем лицензия № 1951, Москва и обл.
Межрегиональный Клиринговый Центр лицензия № 3424, Москва и обл.
Крайинвестбанк лицензия № 3360, Краснодарский край
Синергия лицензия № 2884, Саратовская обл.
ВРБ лицензия № 3499, Москва и обл.
Снежинский лицензия № 1376, Челябинская обл.
Промрегионбанк лицензия № 2123, Томская обл.
Русский Земельный Банк лицензия № 2810, Москва и обл.
РБА лицензия № 3413, Москва и обл.
Вятич лицензия № 2796, Рязанская обл.
Расчетная Палата РТС лицензия № 3335, Москва и обл.
Нальчик лицензия № 695, Кабардино-Балкария
Кросна-Банк лицензия № 2607, Москва и обл.
Арсенал лицензия № 3000, Москва и обл.
Рост Банк лицензия № 2888, Москва и обл.
Промсвязьинвест лицензия № 2761, Дагестан
Эйч-Эс-Би-Си Банк (HSBC) лицензия № 3290, Москва и обл.
Богородский лицензия № 1277, Нижегородская обл.
Югра лицензия № 880, Москва и обл.
Томскпромстройбанк лицензия № 1720, Томская обл.
Кубанский Универсальный Банк лицензия № 2898, Краснодарский край
Тальменка-Банк лицензия № 826, Алтайский край
Арксбанк лицензия № 1868, Москва и обл.
СКБ-Банк лицензия № 705, Свердловская обл.
Взаимодействие лицензия № 1704, Новосибирская обл.
Столичный Кредит лицензия № 2853, Москва и обл.
Национальная Расчетная Компания лицензия № 3386, Москва и обл.
Генбанк лицензия № 2490, Симферополь
ПартнерКапиталБанк (бывш. НоваховКапиталБанк) лицензия № 635, Москва и обл.
АРБ-Инкасс лицензия № 3353, Москва и обл.
Ак Барс лицензия № 2590, Татарстан
Сулак лицензия № 749, Дагестан
Дрезднер Банк лицензия № 2455, Санкт-Петербург и обл.
Сбербанк России лицензия № 1481, Москва и обл.
Регионфинансбанк лицензия № 3357, Москва и обл.
Всероссийский Банк Развития Регионов лицензия № 3287, Москва и обл.
Пересвет лицензия № 2110, Москва и обл.
Апабанк лицензия № 2404, Москва и обл.
ИР-Кредит лицензия № 1724, Москва и обл.
Финансовый Стандарт лицензия № 1053, Москва и обл.
Техноком лицензия № 2614, Москва и обл.
Кремлевский лицензия № 2905, Москва и обл.
Международный Коммерческий Банк лицензия № 2524, Москва и обл.
Межрегиональный Банк Реконструкции лицензия № 2620, Москва и обл.
Тульский Промышленник лицензия № 2382, Тульская обл.
Агросоюз лицензия № 1459, Оренбургская обл.
Банк Кредит Свисс лицензия № 2494, Москва и обл.
Меткомбанк (Каменск-Уральский) лицензия № 2443, Свердловская обл.
АБ Финанс лицензия № 514, Москва и обл.
ТЭСТ лицензия № 3440, Москва и обл.
РосинтерБанк лицензия № 226, Москва и обл.
Россита-Банк лицензия № 3257, Москва и обл.
Русский Банк Сбережений лицензия № 779, Ставропольский край
Собинбанк лицензия № 1317, Москва и обл.
Ростфинанс лицензия № 481, Ростовская обл.
Ермак лицензия № 1809, Тюменская обл.
Майма лицензия № 1037, Республика Алтай
Кемсоцинбанк лицензия № 96, Кемеровская обл.
Калуга лицензия № 1151, Калужская обл.
Дагэнергобанк лицензия № 3286, Дагестан
Московский Коммерческий Банк лицензия № 3172, Москва и обл.
Эргобанк лицензия № 2856, Москва и обл.
Бинбанк Диджитал лицензия № 2827, Москва и обл.
Ипотека-Инвест лицензия № 3070, Татарстан
Объединенный Кредитный Банк лицензия № 1118, Владимирская обл.
Сберинвестбанк лицензия № 1743, Свердловская обл.
Верхневолжский лицензия № 1084, Ярославская обл.
Хакасский Муниципальный Банк лицензия № 1049, Хакасия
Орловский Социальный Банк лицензия № 2921, Орловская обл.
Банк МБФИ лицензия № 2073, Москва и обл.
Международный Банк Санкт-Петербурга (МБСП) лицензия № 197, Санкт-Петербург и обл.
ВТБ 24 лицензия № 1623, Москва и обл.
Наш Банк лицензия № 1340, Москва и обл.
Русьуниверсалбанк лицензия № 3293, Москва и обл.
ВЕБРР лицензия № 3418, Москва и обл.
Интрастбанк лицензия № 3144, Москва и обл.
Вологдабанк лицензия № 992, Вологодская обл.
Норвик Банк лицензия № 1407, Москва и обл.
УМ-Банк лицензия № 1441, Свердловская обл.
УИК-Банк лицензия № 1300, Челябинская обл.
Банк ИТБ лицензия № 3128, Москва и обл.
Банк РСИ лицензия № 3415, Москва и обл.
Чайна Констракшн лицензия № 3515, Москва и обл.
Анелик РУ лицензия № 3443, Москва и обл.
_
ФорБанк лицензия № 2063, Алтайский край
РусЮгбанк лицензия № 2093, Волгоградская обл.
Сиббизнесбанк лицензия № 2539, Тюменская обл.
Национальный Республиканский Банк лицензия № 3359, Москва и обл.
ЕвроситиБанк лицензия № 1869, Ставропольский край
Стар Альянс лицензия № 3433, Москва и обл.
Геобанк лицензия № 2027, Москва и обл.
Банк РСБ 24 (Русславбанк) лицензия № 1073, Москва и обл.
Эно лицензия № 1988, Дагестан
Ланта-Банк лицензия № 1920, Москва и обл.
НОМОС-Региобанк лицензия № 539, Хабаровский край
Церих лицензия № 3278, Орловская обл.
Северинвестбанк лицензия № 2264, Белгородская обл.
СтарБанк лицензия № 548, Москва и обл.
Балтийский Банк лицензия № 128, Санкт-Петербург и обл.
Моби.Деньги лицензия № 3523, Москва и обл.
Дружба лицензия № 990, Тюменская обл.
Информпрогресс лицензия № 2166, Москва и обл.
ГринКомБанк лицензия № 1184, Иркутская обл.
ВТБ Северо-Запад лицензия № 439, Санкт-Петербург и обл.
Инвестсоцбанк лицензия № 3010, Москва и обл.
Универсальный Кредит лицензия № 2903, Москва и обл.
Ураллига лицензия № 1626, Челябинская обл.
Банк «Советский» лицензия № 558, Санкт-Петербург и обл.
Перспектива лицензия № 3532, Омская обл.
Славянский Банк лицензия № 383, Москва и обл.
Севзапинвестпромбанк лицензия № 2152, Санкт-Петербург и обл.
Банкирский Дом лицензия № 2928, Санкт-Петербург и обл.
Объединенный Резервный Банк лицензия № 937, Москва и обл.
МТИ-Банк лицензия № 1052, Москва и обл.
Объединенный Кредитный Банк лицензия № 1118, Ярославская обл.
Булгар Банк лицензия № 1917, Ярославская обл.
АктивКапитал Банк лицензия № 3006, Самарская обл.
Примсоцбанк лицензия № 2733, Приморский край
Бинбанк Мурманск лицензия № 1276, Мурманская обл.
Элплат лицензия № 3535, Удмуртия
Кедр лицензия № 1574, Москва и обл.
Голдман Сакс Банк лицензия № 3490, Москва и обл.
Сведбанк лицензия № 3064, Москва и обл.
Профит Банк лицензия № 3234, Москва и обл.
Сталь Банк лицензия № 2248, Москва и обл.
Генбанк лицензия № 2490, Москва и обл.
МТС Банк лицензия № 2268, Москва и обл.
Российский Капитал лицензия № 2312, Москва и обл.
ЮниКредит Банк лицензия № 1, Москва и обл.
Башпромбанк лицензия № 1006, Башкортостан
БВА Банк лицензия № 1684, Москва и обл.
АвтоКредитБанк лицензия № 1973, Татарстан
Далена Банк лицензия № 1948, Москва и обл.
Балтика лицензия № 967, Москва и обл.
Новикомбанк лицензия № 2546, Москва и обл.
Норвик Банк лицензия № 902, Кировская обл.
Стройкредит лицензия № 18, Москва и обл.
БайкалБанк лицензия № 2632, Бурятия
Тройка-Д Банк лицензия № 3431, Москва и обл.
Финансово-Расчетный Центр лицензия № 3319, Астраханская обл.
Форус Банк лицензия № 3457, Нижегородская обл.
Банк АВБ лицензия № 23, Самарская обл.
Севергазбанк лицензия № 2816, Вологодская обл.
Росавтобанк лицензия № 2767, Москва и обл.
Империя лицензия № 2535, Москва и обл.
Внешфинбанк лицензия № 3173, Дагестан
МСП Банк лицензия № 3340, Москва и обл.
Пермь лицензия № 875, Пермская обл.
Таурус Банк лицензия № 655, Москва и обл.
Хоум Кредит Банк лицензия № 316, Москва и обл.
Торжокуниверсалбанк лицензия № 933, Тверская обл.
Российская Финансовая Корпорация лицензия № 3099, Москва и обл.
Еврорасчет лицензия № 3498, Москва и обл.
СМБ-Банк лицензия № 3504, Санкт-Петербург и обл.
Рапида лицензия № 3371, Москва и обл.
Сетелем Банк лицензия № 2168, Москва и обл.
Первомайский лицензия № 518, Краснодарский край
Мир Бизнес Банк лицензия № 3396, Москва и обл.
Сельмашбанк лицензия № 106, Ростовская обл.
Новый Кредитный Союз лицензия № 3139, Москва и обл.
Воронеж лицензия № 654, Воронежская обл.
МДМ Банк лицензия № 2562, Новосибирская обл.
Приполярком лицензия № 507, Тюменская обл.
Металлинвестбанк лицензия № 2440, Москва и обл.
Замоскворецкий лицензия № 1640, Москва и обл.
Радиотехбанк лицензия № 1166, Нижегородская обл.
Центркомбанк лицензия № 2983, Москва и обл.
Акцепт лицензия № 567, Новосибирская обл.
Банк оф Токио-Мицубиси лицензия № 3465, Москва и обл.
Роял Кредит Банк лицензия № 783, Приморский край
Экономбанк лицензия № 1319, Саратовская обл.
Арзамас лицензия № 1281, Нижегородская обл.
Банк Раунд лицензия № 2506, Москва и обл.
Фидбэк лицензия № 3502, Воронежская обл.
Далькомбанк лицензия № 84, Хабаровский край
Абсолют Банк лицензия № 2306, Москва и обл.
СЭБ Банк лицензия № 3235, Санкт-Петербург и обл.
Петербургский Расчетный Центр лицензия № 3306, Санкт-Петербург и обл.
Киви Банк лицензия № 2241, Москва и обл.
Оней Банк лицензия № 3516, Москва и обл.
Банк Зенит лицензия № 3255, Москва и обл.
ОПМ-Банк лицензия № 2734, Москва и обл.
Саммит Банк лицензия № 85, Приморский край
Платежный Клиринговый Дом лицензия № 3343, Москва и обл.
Аскольд лицензия № 2480, Смоленская обл.
Транзит лицензия № 2688, Дагестан
Банк «Санкт-Петербург» лицензия № 436, Санкт-Петербург и обл.
Развитие лицензия № 2729, Карачаево-Черкесия
Тинькофф Банк лицензия № 2673, Москва и обл.
Икано Банк лицензия № 3519, Москва и обл.
Траст Капитал Банк лицензия № 2741, Москва и обл.
Балтика лицензия № 967, Санкт-Петербург и обл.
Руснарбанк лицензия № 3403, Москва и обл.
Первоуральскбанк лицензия № 965, Свердловская обл.
Анкор Банк лицензия № 889, Татарстан
Банк Глобус лицензия № 2438, Москва и обл.
Енисей лицензия № 474, Красноярский край
Алмазэргиэнбанк лицензия № 2602, Саха (Якутия)
Автоторгбанк лицензия № 2776, Москва и обл.
Мурманский Расчетный Центр лицензия № 3341, Мурманская обл.
АйСиБиСи Банк лицензия № 3475, Москва и обл.
Соколовский лицензия № 2830, Москва и обл.
Почта Банк лицензия № 650, Москва и обл.
Каспий лицензия № 639, Дагестан
Транштрейд лицензия № 2676, Дагестан
Спутник лицензия № 1071, Самарская обл.
Зенит Сочи лицензия № 232, Краснодарский край
Востокбизнесбанк лицензия № 1342, Приморский край
Национальный Банк Сбережений лицензия № 1949, Ивановская обл.
Богородский Муниципальный Банк лицензия № 2992, Москва и обл.
Расчетно-Кредитный Банк лицензия № 103, Москва и обл.
Александровский лицензия № 53, Санкт-Петербург и обл.
Первый Клиентский Банк лицензия № 3436, Москва и обл.
Региональный Кредитный Банк лицензия № 1608, Калининградская обл.
Европейский Индустриальный Банк лицензия № 2503, Москва и обл.
Европейский Экспресс лицензия № 3449, Москва и обл.
Росбанк лицензия № 2272, Москва и обл.
Акция лицензия № 927, Ивановская обл.
Расчетные Решения лицензия № 3524, Москва и обл.
ВТБ лицензия № 1000, Санкт-Петербург и обл.
Новый Век лицензия № 3417, Москва и обл.
Евросиб Банк лицензия № 594, Санкт-Петербург и обл.
Сибирьгазбанк лицензия № 3042, Тюменская обл.
Юг-Инвестбанк лицензия № 2772, Краснодарский край
Бинбанк Смоленск лицензия № 1957, Смоленская обл.
Рост лицензия № 2589, Москва и обл.
Михайловский ПЖСБ лицензия № 2961, Волгоградская обл.
Зеленокумская лицензия № 1239, Ставропольский край
ОФК Банк лицензия № 2270, Москва и обл.
Солидарность (Москва) лицензия № 1555, Москва и обл.
Женская Микрофинансовая Cеть лицензия № 3458, Москва и обл.
Содружество лицензия № 2923, Москва и обл.
Мобилбанк лицензия № 532, Удмуртия
Национальный Банк «Траст» лицензия № 3279, Москва и обл.
Московский Индустриальный Банк лицензия № 912, Москва и обл.
Пробизнесбанк лицензия № 2412, Москва и обл.
Банк Торгового Финансирования лицензия № 1982, Москва и обл.
Трастовый Республиканский Банк лицензия № 3404, Москва и обл.
ИТ Банк лицензия № 2609, Омская обл.
Кузнецкий лицензия № 609, Пензенская обл.
Сибирский Расчетный Центр лицензия № 3308, Новосибирская обл.
Ренессанс лицензия № 1939, Москва и обл.
Единственный лицензия № 3187, Москва и обл.
Петровский лицензия № 729, Санкт-Петербург и обл.
Энергобанк лицензия № 67, Татарстан
АМТ Банк лицензия № 2820, Москва и обл.
Банк Премьер Кредит лицензия № 1663, Коми
Сибсоцбанк лицензия № 2015, Алтайский край
Банк на Гончарной (бывш. Япы Креди Банк Москва) лицензия № 2555, Москва и обл.
Океан Банк лицензия № 1697, Москва и обл.
Северный Народный Банк лицензия № 2721, Коми
Вэлкомбанк лицензия № 589, Ставропольский край
Конфидэнс Банк лицензия № 970, Костромская обл.
Банк Инноваций и Развития лицензия № 2647, Москва и обл.
Банк Интеза лицензия № 2216, Москва и обл.
Запсибкомбанк лицензия № 918, Тюменская обл.
Российский Кредит лицензия № 324, Москва и обл.
Паритет лицензия № 1860, Москва и обл.
БНП Париба Банк лицензия № 3407, Москва и обл.
Русский Торговый Банк лицензия № 2842, Москва и обл.
Легион лицензия № 3117, Москва и обл.
Тендер-Банк лицензия № 2252, Москва и обл.
С-Банк лицензия № 1857, Удмуртия
Рост Банк лицензия № 2888, Татарстан
Пушкино лицензия № 391, Москва и обл.
Континент Финанс лицензия № 149, Калужская обл.
Столичный Торговый Банк лицензия № 2797, Москва и обл.
Ассигнация лицензия № 865, Ставропольский край
Аксонбанк лицензия № 680, Костромская обл.
Экспресс-Кредит лицензия № 210, Москва и обл.
Аскания Траст лицензия № 286, Москва и обл.
Уралпромбанк лицензия № 2964, Челябинская обл.
Приобье лицензия № 537, Тюменская обл.
Экспресс-Волга лицензия № 3085, Костромская обл.
Ижкомбанк лицензия № 646, Удмуртия
Сибирский Банк Реконструкции и Развития лицензия № 1284, Тюменская обл.
Донхлеббанк лицензия № 2285, Ростовская обл.
Банк «ФК Открытие» лицензия № 2209, Москва и обл.
Русский Финансовый Альянс лицензия № 2035, Москва и обл.
Интерпрогрессбанк лицензия № 600, Москва и обл.
Майкопбанк лицензия № 1136, Адыгея
НОКССбанк лицензия № 3202, Волгоградская обл.
Акцент лицензия № 696, Оренбургская обл.
Евросиб Банк лицензия № 594, Псковская обл.
Фининвест лицензия № 671, Москва и обл.
Инстройбанк лицензия № 2743, Москва и обл.
Санкт-Петербургский Банк Инвестиций лицензия № 3468, Санкт-Петербург и обл.
Банк24.ру лицензия № 2227, Свердловская обл.
Национальный Торговый Банк лицензия № 3087, Самарская обл.
Татсоцбанк лицензия № 480, Татарстан
Новосибирский Муниципальный Банк лицензия № 2786, Новосибирская обл.
Мико-Банк лицензия № 3195, Москва и обл.
Камчатпромбанк лицензия № 1194, Камчатская обл.
ФДБ лицензия № 3071, Москва и обл.
Радиан лицензия № 1675, Иркутская обл.
Кредит Экспресс лицензия № 3186, Ростовская обл.
